customer_id,recency,frequency,monetary,complaints_count,segment_name
CUST00001,107,6,2955.57,2.0,Loyal Customers
CUST00002,-26,3,1713.1,1.0,Loyal Customers
CUST00003,171,1,649.98,0.0,Loyal Customers
CUST00004,131,1,1604.04,0.0,Loyal Customers
CUST00005,-50,6,3910.43,1.0,Champions
CUST00006,-6,6,3987.46,2.0,Champions
CUST00007,-58,2,1219.9,0.0,At-Risk Customers
CUST00008,-16,6,3647.9900000000002,1.0,Champions
CUST00009,-32,2,803.99,0.0,At-Risk Customers
CUST00010,-52,2,1984.18,0.0,At-Risk Customers
CUST00011,-54,4,2912.49,0.0,Loyal Customers
CUST00012,50,2,2051.63,1.0,At-Risk Customers
CUST00013,-58,4,2934.52,1.0,Loyal Customers
CUST00014,-60,13,9108.63,2.0,Champions
CUST00015,-60,5,5805.34,0.0,Champions
CUST00016,215,1,478.02,1.0,Dormant Customers
CUST00017,286,3,1699.1399999999999,0.0,Dormant Customers
CUST00018,111,1,329.21,0.0,Loyal Customers
CUST00019,-26,3,2719.02,0.0,Loyal Customers
CUST00020,368,3,4487.950000000001,1.0,Dormant Customers
CUST00021,77,2,1059.3,1.0,At-Risk Customers
CUST00022,-24,2,1332.67,0.0,At-Risk Customers
CUST00023,-19,2,772.04,0.0,At-Risk Customers
CUST00024,-47,2,967.97,0.0,At-Risk Customers
CUST00025,165,7,4868.86,3.0,Loyal Customers
CUST00026,-20,4,4521.43,1.0,Loyal Customers
CUST00027,-46,2,2666.0,1.0,At-Risk Customers
CUST00028,-57,3,1853.73,1.0,Loyal Customers
CUST00029,-49,11,7122.8,0.0,Champions
CUST00030,-45,7,3884.46,2.0,Champions
CUST00031,49,1,672.95,0.0,At-Risk Customers
CUST00032,-29,4,2456.0499999999997,0.0,Loyal Customers
CUST00033,-46,6,3548.9,2.0,Champions
CUST00034,-8,7,4165.39,3.0,High-Value But Unhappy
CUST00035,127,3,1369.71,0.0,Loyal Customers
CUST00036,27,4,1737.33,1.0,Loyal Customers
CUST00037,-52,3,2021.52,0.0,Loyal Customers
CUST00038,-50,6,2761.52,1.0,Champions
CUST00039,-30,4,2094.09,0.0,Loyal Customers
CUST00040,154,1,634.73,1.0,Loyal Customers
CUST00041,54,4,1911.8600000000001,1.0,Loyal Customers
CUST00042,-15,10,7919.28,6.0,High-Value But Unhappy
CUST00043,-49,2,705.3199999999999,0.0,At-Risk Customers
CUST00044,-3,4,3409.6499999999996,1.0,Loyal Customers
CUST00045,96,1,413.75,0.0,Loyal Customers
CUST00046,127,1,489.87,0.0,Loyal Customers
CUST00047,204,1,764.43,0.0,Dormant Customers
CUST00048,-50,5,2860.14,1.0,Champions
CUST00049,-22,2,1172.61,0.0,At-Risk Customers
CUST00050,-5,4,3169.58,1.0,Loyal Customers
CUST00051,210,4,4444.3,2.0,Dormant Customers
CUST00052,55,3,2807.14,1.0,Loyal Customers
CUST00053,-51,6,5422.92,2.0,Champions
CUST00054,-38,2,1154.37,0.0,At-Risk Customers
CUST00055,-60,4,1707.24,1.0,Loyal Customers
CUST00056,-8,5,4169.73,1.0,Champions
CUST00057,136,2,2510.83,0.0,Loyal Customers
CUST00058,-12,5,3930.75,0.0,Champions
CUST00059,-52,5,5050.94,0.0,Champions
CUST00060,145,1,293.22,0.0,Loyal Customers
CUST00061,-58,5,2511.7200000000003,1.0,Champions
CUST00062,-11,5,3135.08,1.0,Champions
CUST00063,216,1,397.69,1.0,Dormant Customers
CUST00064,-34,3,1634.0,0.0,Loyal Customers
CUST00065,-60,4,3966.91,0.0,Loyal Customers
CUST00066,320,5,4598.95,1.0,Dormant Customers
CUST00067,63,2,1246.44,1.0,At-Risk Customers
CUST00068,346,3,2123.66,1.0,Dormant Customers
CUST00069,29,2,874.47,0.0,At-Risk Customers
CUST00070,38,1,542.98,0.0,At-Risk Customers
CUST00071,32,1,2062.5,1.0,At-Risk Customers
CUST00072,90,4,2587.02,0.0,Loyal Customers
CUST00073,-16,7,6253.77,0.0,Champions
CUST00074,-35,5,2884.48,1.0,Champions
CUST00075,-17,11,7714.719999999999,4.0,High-Value But Unhappy
CUST00076,-60,4,2888.0299999999997,0.0,Loyal Customers
CUST00077,109,1,394.32,0.0,Loyal Customers
CUST00078,139,1,894.45,1.0,Loyal Customers
CUST00079,191,1,619.57,0.0,Dormant Customers
CUST00080,-53,4,2832.98,0.0,Loyal Customers
CUST00081,-20,9,5805.78,3.0,High-Value But Unhappy
CUST00082,254,3,1671.25,0.0,Dormant Customers
CUST00083,89,2,806.87,1.0,At-Risk Customers
CUST00084,167,1,1273.18,0.0,Loyal Customers
CUST00085,14,1,1257.8,0.0,At-Risk Customers
CUST00086,-21,6,3003.66,1.0,Champions
CUST00087,-33,4,3610.9700000000003,0.0,Loyal Customers
CUST00088,98,12,6774.5,1.0,Loyal Customers
CUST00089,165,2,2825.75,0.0,Loyal Customers
CUST00090,-11,5,2498.83,1.0,Champions
CUST00091,-43,5,5844.34,1.0,Champions
CUST00092,-27,2,1155.25,0.0,At-Risk Customers
CUST00093,85,1,759.64,0.0,At-Risk Customers
CUST00094,183,4,3557.43,2.0,Dormant Customers
CUST00095,65,1,372.65,1.0,At-Risk Customers
CUST00096,-16,4,2403.64,1.0,Loyal Customers
CUST00097,-32,8,5040.67,2.0,Champions
CUST00098,184,2,1843.57,1.0,Dormant Customers
CUST00099,-16,6,3861.8199999999997,1.0,Champions
CUST00100,-58,3,2209.4,0.0,Loyal Customers
CUST00101,108,5,3514.87,2.0,Loyal Customers
CUST00102,-43,2,2048.62,0.0,At-Risk Customers
CUST00103,-54,3,2581.31,0.0,Loyal Customers
CUST00104,93,1,955.63,0.0,Loyal Customers
CUST00105,-21,2,2846.2999999999997,0.0,At-Risk Customers
CUST00106,61,7,4352.11,1.0,Loyal Customers
CUST00107,-29,4,3891.05,0.0,Loyal Customers
CUST00108,44,1,1074.5,1.0,At-Risk Customers
CUST00109,-1,6,4566.15,0.0,Champions
CUST00110,35,6,3922.07,2.0,Champions
CUST00111,178,1,1135.09,0.0,Loyal Customers
CUST00112,-27,9,6542.4,1.0,Champions
CUST00113,-53,3,2095.48,0.0,Loyal Customers
CUST00114,239,6,5133.53,1.0,Dormant Customers
CUST00115,159,1,596.54,1.0,Loyal Customers
CUST00116,143,6,5635.9,0.0,Loyal Customers
CUST00117,123,4,2534.33,0.0,Loyal Customers
CUST00118,-47,4,2001.17,0.0,Loyal Customers
CUST00119,-55,6,4466.32,1.0,Champions
CUST00120,-29,2,755.8399999999999,0.0,At-Risk Customers
CUST00121,-38,3,3028.88,0.0,Loyal Customers
CUST00122,106,2,2048.93,0.0,Loyal Customers
CUST00123,-32,7,3742.48,3.0,High-Value But Unhappy
CUST00124,194,4,2570.5,0.0,Dormant Customers
CUST00125,-44,3,2455.21,0.0,Loyal Customers
CUST00126,57,2,1260.02,0.0,At-Risk Customers
CUST00127,-43,3,1136.12,0.0,Loyal Customers
CUST00128,-55,3,2233.06,0.0,Loyal Customers
CUST00129,-29,5,4049.54,2.0,Champions
CUST00130,-4,2,1850.58,0.0,At-Risk Customers
CUST00131,67,6,6830.01,0.0,Loyal Customers
CUST00132,117,5,4876.780000000001,0.0,Loyal Customers
CUST00133,-49,10,7152.29,1.0,Champions
CUST00134,-42,6,4696.0199999999995,3.0,High-Value But Unhappy
CUST00135,333,4,2534.18,0.0,Dormant Customers
CUST00136,71,1,514.9,0.0,At-Risk Customers
CUST00137,177,2,1035.87,0.0,Loyal Customers
CUST00138,-25,2,1424.6100000000001,0.0,At-Risk Customers
CUST00139,-47,4,3008.66,2.0,Loyal Customers
CUST00140,-28,5,4083.36,2.0,Champions
CUST00141,-41,2,1055.28,0.0,At-Risk Customers
CUST00142,169,5,1880.0,0.0,Loyal Customers
CUST00143,-10,7,7890.950000000001,0.0,Champions
CUST00144,-19,10,8510.65,3.0,High-Value But Unhappy
CUST00145,30,1,502.35,0.0,At-Risk Customers
CUST00146,-55,6,6990.9400000000005,1.0,Champions
CUST00147,-34,4,3412.56,1.0,Loyal Customers
CUST00148,-46,5,3702.7,1.0,Champions
CUST00149,-51,3,2362.6400000000003,0.0,Loyal Customers
CUST00150,-26,5,2641.09,0.0,Champions
CUST00151,-17,8,6240.6,3.0,High-Value But Unhappy
CUST00152,-51,8,5508.0,4.0,High-Value But Unhappy
CUST00153,-35,3,1619.74,0.0,Loyal Customers
CUST00154,-19,10,8542.89,0.0,Champions
CUST00155,-29,4,2343.2799999999997,0.0,Loyal Customers
CUST00156,-33,3,4831.42,1.0,Loyal Customers
CUST00157,0,5,2269.91,1.0,Champions
CUST00158,155,1,812.34,0.0,Loyal Customers
CUST00159,474,2,3713.77,0.0,Dormant Customers
CUST00160,177,2,1064.66,1.0,Loyal Customers
CUST00161,-47,7,6171.42,0.0,Champions
CUST00162,91,2,1194.5900000000001,0.0,Loyal Customers
CUST00163,-39,2,1100.06,0.0,At-Risk Customers
CUST00164,222,5,4657.03,1.0,Dormant Customers
CUST00165,-24,4,2287.08,0.0,Loyal Customers
CUST00166,-23,3,3227.7,1.0,Loyal Customers
CUST00167,219,1,423.24,0.0,Dormant Customers
CUST00168,-48,5,4794.47,0.0,Champions
CUST00169,222,1,1799.45,0.0,Dormant Customers
CUST00170,-44,12,7634.5599999999995,1.0,Champions
CUST00171,-30,4,3416.04,0.0,Loyal Customers
CUST00172,-16,8,6232.719999999999,3.0,High-Value But Unhappy
CUST00173,-18,6,2018.8200000000002,1.0,Champions
CUST00174,-58,7,3507.37,2.0,Champions
CUST00175,59,4,3568.3199999999997,1.0,Loyal Customers
CUST00176,-51,4,6283.41,0.0,Loyal Customers
CUST00177,-48,5,5158.25,0.0,Champions
CUST00178,-28,9,5965.32,4.0,High-Value But Unhappy
CUST00179,-25,4,1767.07,2.0,Loyal Customers
CUST00180,96,2,1570.85,1.0,Loyal Customers
CUST00181,-26,2,1815.8899999999999,0.0,At-Risk Customers
CUST00182,-1,2,672.78,0.0,At-Risk Customers
CUST00183,152,3,3246.8900000000003,1.0,Loyal Customers
CUST00184,14,5,5072.85,2.0,Champions
CUST00185,-36,9,5475.0,0.0,Champions
CUST00186,-45,2,2279.63,1.0,At-Risk Customers
CUST00187,-8,4,2223.79,1.0,Loyal Customers
CUST00188,29,7,5810.17,3.0,High-Value But Unhappy
CUST00189,-57,11,8207.06,3.0,High-Value But Unhappy
CUST00190,-43,2,854.78,1.0,At-Risk Customers
CUST00191,-52,3,945.03,0.0,Loyal Customers
CUST00192,-59,6,3657.1499999999996,0.0,Champions
CUST00193,157,1,424.74,0.0,Loyal Customers
CUST00194,-58,6,4197.11,3.0,High-Value But Unhappy
CUST00195,-58,2,1955.96,1.0,At-Risk Customers
CUST00196,24,2,1272.38,1.0,At-Risk Customers
CUST00197,-52,12,11523.66,3.0,High-Value But Unhappy
CUST00198,-35,10,7958.04,2.0,Champions
CUST00199,-12,5,4359.83,1.0,Champions
CUST00200,-35,9,7636.45,1.0,Champions
CUST00201,93,7,6691.56,2.0,Loyal Customers
CUST00202,-13,2,2363.2200000000003,0.0,At-Risk Customers
CUST00203,114,2,743.3499999999999,0.0,Loyal Customers
CUST00204,-14,6,3646.77,0.0,Champions
CUST00205,-54,6,3610.58,0.0,Champions
CUST00206,118,10,6479.7,3.0,Loyal Customers
CUST00207,18,1,193.1,0.0,At-Risk Customers
CUST00208,91,6,6865.35,1.0,Loyal Customers
CUST00209,279,5,3422.88,1.0,Dormant Customers
CUST00210,128,2,1254.8700000000001,0.0,Loyal Customers
CUST00211,-33,7,27920.05,1.0,Champions
CUST00212,204,3,2071.6800000000003,0.0,Dormant Customers
CUST00213,86,2,1680.61,2.0,At-Risk Customers
CUST00214,64,1,1427.16,0.0,At-Risk Customers
CUST00215,34,3,1564.1,1.0,Loyal Customers
CUST00216,48,1,1349.42,1.0,At-Risk Customers
CUST00217,79,3,1179.94,0.0,Loyal Customers
CUST00218,-46,4,2728.57,0.0,Loyal Customers
CUST00219,154,6,2782.79,1.0,Loyal Customers
CUST00220,-42,4,1750.5,1.0,Loyal Customers
CUST00221,-52,3,1357.66,0.0,Loyal Customers
CUST00222,186,2,1259.5,1.0,Dormant Customers
CUST00223,103,1,757.58,1.0,Loyal Customers
CUST00224,-53,4,3249.04,1.0,Loyal Customers
CUST00225,88,3,3012.6,0.0,Loyal Customers
CUST00226,-56,4,3683.7,1.0,Loyal Customers
CUST00227,153,6,4383.02,2.0,Loyal Customers
CUST00228,82,7,4150.72,2.0,Loyal Customers
CUST00229,92,5,3077.41,1.0,Loyal Customers
